finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
211000,Fashion & Retail,Bernard Arnault & family,74,France,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,False,M,
180000,Automotive,Elon Musk,51,United States,Austin,"Tesla, SpaceX",Automotive,United States,Tesla,True,M,Texas
114000,Technology,Jeff Bezos,59,United States,Medina,Amazon,Technology,United States,Amazon,True,M,Washington
107000,Technology,Larry Ellison,78,United States,Lanai,Oracle,Technology,United States,Oracle,True,M,Hawaii
106000,Finance & Investments,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),True,M,Nebraska
104000,Technology,Bill Gates,67,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,True,M,Washington
94500,Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,True,M,New York
93000,Telecom,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,Telecom,Mexico,América Móvil,True,M,
83400,Diversified,Mukesh Ambani,65,India,Mumbai,Diversified,Diversified,India,Reliance Industries,False,M,
80700,Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,True,M,Washington
80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,Fashion & Retail,France,,False,F,
79200,Technology,Larry Page,50,United States,Palo Alto,Google,Technology,United States,Alphabet,True,M,California
77300,Fashion & Retail,Amancio Ortega,87,Spain,La Coruna,Zara,Fashion & Retail,Spain,,True,M,
76000,Technology,Sergey Brin,49,United States,Los Altos,Google,Technology,United States,Alphabet,True,M,California
68000,Food & Beverage,Zhong Shanshan,68,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,,True,M,
64400,Technology,Mark Zuckerberg,38,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,True,M,California
59000,Diversified,Charles Koch & family,87,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",False,M,Kansas
59000,Diversified,Julia Koch & family,60,United States,New York,Koch Industries,Diversified,United States,,False,F,New York
58800,Fashion & Retail,Jim Walton,74,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",False,M,Arkansas
57600,Fashion & Retail,Rob Walton & family,78,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,M,Arkansas
56700,Fashion & Retail,Alice Walton,73,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,F,Texas
54400,Media & Entertainment,David Thomson & family,65,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,False,M,
50100,Technology,Michael Dell,58,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,True,M,Texas
47200,Diversified,Gautam Adani,60,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,,True,M,
45100,Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,M,Oregon
45000,Technology,Zhang Yiming,39,China,Beijing,TikTok,Technology,China,ByteDance,True,M,
42900,Fashion & Retail,Dieter Schwarz,83,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,,False,M,
40100,Fashion & Retail,François Pinault & family,86,France,Paris,Luxury goods,Fashion & Retail,France,,True,M,
39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Shipping,Logistics,Germany,,False,M,
38900,Food & Beverage,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,False,M,
38300,Food & Beverage,Jacqueline Mars,83,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,False,F,Virginia
38300,Food & Beverage,John Mars,87,United States,Jackson,"Candy, pet food",Food & Beverage,United States,,False,M,Wyoming
38000,Diversified,Li Ka-shing,94,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,M,
35300,Technology,Ma Huateng,51,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,M,
35000,Gambling & Casinos,Miriam Adelson & family,77,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,False,F,Nevada
35000,Finance & Investments,Ken Griffin,54,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,M,Florida
34700,Food & Beverage,Mark Mateschitz,30,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,False,M,
33400,Automotive,Robin Zeng,54,China,Ningde,Batteries,Automotive,Hong Kong,,True,M,
32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,True,M,
32100,Diversified,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",Diversified,United States,,True,M,
31600,Fashion & Retail,Alain Wertheimer,74,United States,New York,Chanel,Fashion & Retail,France,,False,M,New York
31600,Fashion & Retail,Gerard Wertheimer,72,United States,New York,Chanel,Fashion & Retail,France,,False,M,New York
31200,Logistics,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,M,
31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,F,
30200,Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,Technology,China,,True,M,
29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,True,M,
29500,Real Estate,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,M,
28500,Finance & Investments,Jeff Yass,64,United States,Haverford,"Trading, investments",Finance & Investments,United States,,True,M,Pennsylvania
28100,Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,M,New York
27800,Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,M,New York
27400,Automotive,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,False,F,
27000,Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,F,
26700,Technology,William Ding,51,China,Hangzhou,Online games,Technology,China,,True,M,
26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,False,M,
25600,Technology,Shiv Nadar,77,India,Delhi,software services,Technology,India,,True,M,
25500,Energy,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,Energy,Indonesia,,True,M,
25300,Finance & Investments,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,True,M,Florida
25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,True,M,
24600,Automotive,Stefan Quandt,56,Germany,Frankfurt,BMW,Automotive,Germany,,False,M,
24400,Technology,MacKenzie Scott,52,United States,Seattle,Amazon,Technology,United States,,False,F,Washington
24200,Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,False,M,
23700,Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,Metals & Mining,Russia,,True,M,
23500,Technology,Jack Ma,58,China,Hangzhou,E-commerce,Technology,China,,True,M,
23400,Manufacturing,He Xiangjian & family,80,China,Foshan,Home appliances,Manufacturing,China,,True,M,
23100,Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,Metals & Mining,Chile,,False,F,
23100,Manufacturing,Michael Hartono,83,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,,False,M,
22900,Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,M,
22600,Healthcare,Cyrus Poonawalla,81,India,Pune,Vaccines,Healthcare,India,,False,M,
22400,Telecom,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,True,M,
22100,Metals & Mining,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,,True,M,
22000,Food & Beverage,Emmanuel Besnier,52,France,Laval,Cheese,Food & Beverage,France,,False,M,
21600,Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,False,F,Massachusetts
21600,Energy,Leonid Mikhelson & family,67,Russia,Moscow,"Gas, chemicals",Energy,Russia,,True,M,
21200,Fashion & Retail,Lukas Walton,36,United States,Chicago,Walmart,Fashion & Retail,United States,,False,M,Illinois
21200,Service,Wang Wei,52,China,Shenzhen,Package delivery,Service,China,,True,M,
21100,Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,True,M,California
21000,Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,False,M,New York
21000,Manufacturing,Takemitsu Takizaki,77,Japan,Osaka,Sensors,Manufacturing,Japan,,True,M,
20900,Metals & Mining,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,,True,M,
20500,Energy,Vagit Alekperov,72,Russia,Moscow,Oil,Energy,Russia,,True,M,
20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,Healthcare,United States,,True,M,Tennessee
19600,Metals & Mining,Andrew Forrest,61,Australia,Perth,Mining,Metals & Mining,Australia,,True,M,
19100,Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,True,M,Connecticut
19000,Automotive,Eric Li,59,China,Hangzhou,Automobiles,Automotive,China,,True,M,
19000,Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",Metals & Mining,China,,True,M,
18900,Diversified,Eyal Ofer,72,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,,False,M,
18900,Food & Beverage,Qin Yinglin,57,China,Nanyang,Pig breeding,Food & Beverage,China,,True,M,
18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",Automotive,China,,True,M,
18500,Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,True,M,Oklahoma
18500,Finance & Investments,David Tepper,65,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,True,M,Florida
18500,Energy,Gennady Timchenko,70,Russia,Moscow,"Oil, gas",Energy,Russia,,True,M,
18000,Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,Finance & Investments,United States,,True,M,Michigan
17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,London,Steel,Metals & Mining,India,ArcelorMittal (ADR),False,M,
17500,Finance & Investments,Steve Cohen,66,United States,Greenwich,Hedge funds,Finance & Investments,United States,Point72 Asset Management,True,M,Connecticut
17500,Finance & Investments,Carl Icahn,87,United States,Indian Creek,Investments,Finance & Investments,United States,Icahn Capital Management,True,M,Florida
17500,Metals & Mining,Savitri Jindal & family,73,India,Hisar,Steel,Metals & Mining,India,,False,F,
17400,Real Estate,Donald Bren,90,United States,Newport Beach,Real estate,Real Estate,United States,Irvine Company,True,M,California
17400,Fashion & Retail,"John Menard, Jr.",83,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,"Menard, Inc.",True,M,Wisconsin
17100,Media & Entertainment,Rupert Murdoch & family,92,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,News Corp Class A,False,M,New York
16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,,False,F,
16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,,False,M,
16500,Finance & Investments,Renata Kellnerova & family,55,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,,False,F,
16300,Healthcare,Li Xiting,72,China,Shenzhen,medical devices,Healthcare,Singapore,,True,M,
16200,Fashion & Retail,Stefan Persson,75,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,Hennes & Mauritz Unsponsored ADR,False,M,
16200,Technology,Eric Schmidt,67,United States,Atherton,Google,Technology,United States,,True,M,California
16000,Finance & Investments,Michael Platt,55,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,BlueCrest Capital Management,True,M,
15900,Food & Beverage,Pang Kang,67,China,Foshan,Soy sauce,Food & Beverage,China,,True,M,
15800,Fashion & Retail,Karl Albrecht Jr. & family,65,Germany,,Supermarkets,Fashion & Retail,Germany,,False,M,
15800,Fashion & Retail,Beate Heister,65,,,Supermarkets,Fashion & Retail,Germany,,False,F,
15800,Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,Zurich,Beer,Food & Beverage,Brazil,,True,M,
15800,Real Estate,Peter Woo,76,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,False,M,
15600,Healthcare,Dilip Shanghvi,67,India,Mumbai,Pharmaceuticals,Healthcare,India,,True,M,
15500,Technology,Robert Pera,45,United States,San Jose,Wireless networking,Technology,United States,Ubiquiti,True,M,California
15300,Fashion & Retail,Radhakishan Damani,68,India,Mumbai,"Retail, investments",Fashion & Retail,India,,True,M,
15200,Automotive,Huang Shilin,56,China,Ningde,Batteries,Automotive,China,,True,M,
14900,Diversified,Dhanin Chearavanont,83,Thailand,Bangkok,Diversified,Diversified,Thailand,,False,M,
14900,Fashion & Retail,David Green & family,81,United States,Oklahoma City,Retail,Fashion & Retail,United States,Hobby Lobby,True,M,Oklahoma
14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,Thailand,,True,M,
14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,London,Heineken,Food & Beverage,Netherlands,,False,F,
14600,Healthcare,Xu Hang,60,China,Shenzhen,Medical devices,Healthcare,Hong Kong,,True,M,
14500,Automotive,Wei Jianjun & family,59,China,Baoding,Automobiles,Automotive,China,,True,M,
14400,Metals & Mining,Alisher Usmanov,69,Uzbekistan,Tashkent,"Steel, telecom, investments",Metals & Mining,Russia,Metalloinvest,True,M,
14300,Manufacturing,Goh Cheng Liang,95,Singapore,Singapore,Paints,Manufacturing,Singapore,,True,M,
14200,Diversified,Kumar Birla,55,India,Mumbai,Commodities,Diversified,India,,False,M,
14200,Manufacturing,Aliko Dangote,65,Nigeria,Lagos,"Cement, sugar",Manufacturing,Nigeria,Dangote Group,True,M,
14100,Real Estate,Kwong Siu-hing,93,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,False,F,
14000,Diversified,Idan Ofer,67,United Kingdom,London,Shipping,Diversified,Israel,,False,M,
13900,Healthcare,Chen Bang,57,China,Changsha,Hospitals,Healthcare,China,,True,M,
13900,Gambling & Casinos,Lui Che Woo,94,Hong Kong,Hong Kong,Casinos/hotels,Gambling & Casinos,Hong Kong,,True,M,
13700,Logistics,John Fredriksen,78,United Kingdom,London,Shipping,Logistics,Cyprus,,True,M,
13700,Construction & Engineering,Diane Hendricks,76,United States,Afton,Building supplies,Construction & Engineering,United States,ABC Supply,True,F,Wisconsin
13700,Technology,Jan Koum,47,United States,Atherton,WhatsApp,Technology,United States,WhatsApp Inc.,True,M,California
13300,Sports,Jerry Jones,80,United States,Dallas,Dallas Cowboys,Sports,United States,Dallas Cowboys,True,M,Texas
13300,Energy,George Kaiser,80,United States,Tulsa,"Oil & gas, banking",Energy,United States,BOK Financial Corp.,False,M,Oklahoma
13300,Real Estate,Joseph Lau,71,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,M,
13200,Automotive,Lu Xiangyang,60,China,Guangzhou,"Automobiles, batteries",Automotive,China,,True,M,
13100,Real Estate,Harry Triguboff,90,Australia,Sydney,Real estate,Real Estate,Australia,,True,M,
12900,Finance & Investments,Uday Kotak,64,India,Mumbai,Banking,Finance & Investments,India,,True,M,
12900,Sports,Stanley Kroenke,75,United States,Electra,"Sports, real estate",Sports,United States,,True,M,Texas
12600,Energy,Mikhail Fridman,58,United Kingdom,London,"Oil, banking, telecom",Energy,Russia,,True,M,
12300,Energy,Sarath Ratanavadi,57,Thailand,Bangkok,Energy,Energy,Thailand,,True,M,
12200,Metals & Mining,Dang Yanbao,50,China,Yinchuan,Coal,Metals & Mining,China,,True,M,
12200,Healthcare,Jiang Rensheng & family,69,China,Chongqing,Vaccines,Healthcare,China,,True,M,
12100,Automotive,Shahid Khan,72,United States,Naples,Auto parts,Automotive,United States,,True,M,Florida
12000,Technology,Laurene Powell Jobs & family,59,United States,Palo Alto,"Apple, Disney",Technology,United States,Emerson Collective,False,F,California
11800,Diversified,Robert Kuok,99,Hong Kong,Hong Kong,"Palm oil, shipping, property",Diversified,Malaysia,,True,M,
11600,Real Estate,Stephen Ross,82,United States,New York,Real estate,Real Estate,United States,,True,M,New York
11500,Technology,Pavel Durov,38,United Arab Emirates,Dubai,Messaging app,Technology,United Arab Emirates,,True,M,
11500,Healthcare,Andreas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,,True,M,
11500,Healthcare,Thomas Struengmann & family,73,Germany,Tegernsee,Pharmaceuticals,Healthcare,Germany,,True,M,
11400,Food & Beverage,Liu Hanyuan,59,China,Chengdu,Agribusiness,Food & Beverage,China,,True,M,
11400,Fashion & Retail,Michael Rubin,50,United States,Bryn Mawr,Online retail,Fashion & Retail,United States,Kynetic,True,M,Pennsylvania
11300,Finance & Investments,Israel Englander,74,United States,New York,Hedge funds,Finance & Investments,United States,"Millennium Management, L.L.C.",True,M,New York
11300,Manufacturing,Viatcheslav Kantor,69,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,Russia,,True,M,
11300,Manufacturing,Anthony Pratt,62,Australia,Melbourne,Manufacturing,Manufacturing,Australia,,False,M,
11300,Finance & Investments,Mikhail Prokhorov,57,Switzerland,Frauenfeld,Investments,Finance & Investments,Russia,,True,M,
11100,Fashion & Retail,Giorgio Armani,88,Italy,Milan,Luxury goods,Fashion & Retail,Italy,,True,M,
11100,Fashion & Retail,Johann Rupert & family,72,South Africa,Cape Town,Luxury goods,Fashion & Retail,South Africa,,False,M,
11000,Finance & Investments,Gong Hongjia & family,58,Hong Kong,Hong Kong,Video surveillance,Finance & Investments,Hong Kong,,True,M,
11000,Technology,Zhang Zhidong,51,China,Shenzhen,Internet media,Technology,China,,True,M,
10900,Finance & Investments,Philip Anschutz,83,United States,Denver,"Energy, sports, entertainment",Finance & Investments,United States,,False,M,Colorado
10900,Fashion & Retail,Judy Love & family,85,United States,Oklahoma City,Gas stations,Fashion & Retail,United States,Love's Travel Stops and Country Stores,True,F,Oklahoma
10900,Fashion & Retail,Ricardo Salinas Pliego & family,67,Mexico,Mexico City,"Retail, media",Fashion & Retail,Mexico,,False,M,
10700,Media & Entertainment,Donald Newhouse,93,United States,New York,Media,Media & Entertainment,United States,,False,M,New York
10600,Sports,Robert Kraft,81,United States,Brookline,"Manufacturing, New England Patriots",Sports,United States,The Kraft Group,True,M,Massachusetts
10600,Food & Beverage,Marcel Herrmann Telles,73,Brazil,Sao Paulo,Beer,Food & Beverage,Brazil,,True,M,
10500,Finance & Investments,Suleiman Kerimov & family,57,Russia,Moscow,Gold,Finance & Investments,Russia,,True,M,
10500,Fashion & Retail,Sky Xu,39,China,Guangzhou,E-commerce,Fashion & Retail,China,,True,M,
10500,Finance & Investments,Changpeng Zhao,45,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,Canada,,True,M,
10300,Finance & Investments,Andrew Beal,70,United States,Dallas,"Banks, real estate",Finance & Investments,United States,,True,M,Texas
10200,Technology,Mike Cannon-Brookes,43,Australia,Sydney,Software,Technology,Australia,,True,M,
10200,Healthcare,Carl Cook,60,United States,Bloomington,Medical devices,Healthcare,United States,,False,M,Indiana
10200,Technology,David Duffield,82,United States,Incline Village,Business software,Technology,United States,Workday,True,M,Nevada
10200,Energy,Jeffery Hildebrand,64,United States,Houston,Oil,Energy,United States,,True,M,Texas
10200,Manufacturing,Viktor Rashnikov,74,Russia,Magnitogorsk,Steel,Manufacturing,Russia,,True,M,
10200,Technology,Eduardo Saverin,41,Singapore,Singapore,Facebook,Technology,Brazil,Meta Platforms,True,M,
10200,Automotive,Georg Schaeffler,58,Germany,Herzogenaurach,Auto parts,Automotive,Germany,,False,M,
10200,Fashion & Retail,Christy Walton,74,United States,Jackson,Walmart,Fashion & Retail,United States,,False,F,Wyoming
10100,Technology,Scott Farquhar,43,Australia,Sydney,Software,Technology,Australia,,True,M,
10100,Diversified,Quek Leng Chan,81,Malaysia,Kuala Lumpur,"Banking, property",Diversified,Malaysia,,False,M,
10100,Real Estate,Wu Yajun,59,China,Beijing,Real estate,Real Estate,China,,True,F,
10000,Energy,Autry Stephens,85,United States,Midland,Oil,Energy,United States,,True,M,Texas
9900,Service,Liu Yongxing,74,China,Shanghai,Diversified,Service,China,East Hope Group,True,M,
9800,Diversified,Vinod Adani,74,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,Cyprus,,True,M,
9800,Fashion & Retail,Nicolas Puech,80,Switzerland,Martigny,Hermes,Fashion & Retail,France,,False,M,
9800,Logistics,"Jacques Saadé, Jr.",51,France,Marseille,Shipping,Logistics,France,,False,M,
9800,Logistics,Rodolphe Saadé,53,France,Marseille,Shipping,Logistics,France,CMA CGM,False,M,
9800,Logistics,Tanya Saadé Zeenny,55,France,Marseille,Shipping,Logistics,France,,False,F,
9800,Finance & Investments,Melker Schorling & family,75,Sweden,Stockholm,Investments,Finance & Investments,Sweden,,True,M,
9700,Manufacturing,Andrei Guriev & family,63,Russia,Moscow,Fertilizers,Manufacturing,Russia,,True,M,
9700,Finance & Investments,Michael Kim,59,South Korea,Seoul,Private equity,Finance & Investments,United States,MBK Partners,True,M,
9700,Technology,Lei Jun,53,China,Beijing,Smartphones,Technology,China,Xiaomi,True,M,
9700,Manufacturing,Friedhelm Loh,76,Germany,Haiger,Manufacturing,Manufacturing,Germany,,False,M,
9700,Healthcare,Sun Piaoyang,64,China,Lianyungang,Pharmaceuticals,Healthcare,China,,True,M,
9600,Technology,Rick Cohen & family,70,United States,Keene,Warehouse automation,Technology,United States,C&S Wholesale Grocers,False,M,New Hampshire
9600,Energy,Jin Baofang,70,China,Xingtai,Solar panels,Energy,China,,True,M,
9600,Manufacturing,Luo Liguo & family,67,China,Ningbo,Chemicals,Manufacturing,China,,True,M,
9600,Food & Beverage,Marijke Mars,58,United States,Los Angeles,"Candy, pet food",Food & Beverage,United States,,False,F,California
9600,Food & Beverage,Pamela Mars,62,United States,Alexandria,"Candy, pet food",Food & Beverage,United States,,False,F,Virginia
9600,Food & Beverage,Valerie Mars,64,United States,New York,"Candy, pet food",Food & Beverage,United States,,False,F,New York
9600,Food & Beverage,Victoria Mars,66,United States,Philadelphia,"Candy, pet food",Food & Beverage,United States,,False,F,Pennsylvania
9500,Finance & Investments,Vincent Bolloré & family,71,France,Paris,Investments,Finance & Investments,France,,False,M,
9500,Diversified,Jim Pattison,94,Canada,Vancouver,Diversified,Diversified,Canada,Jim Pattison Group,True,M,
9400,Healthcare,Ernesto Bertarelli,57,Switzerland,Gstaad,"Biotech, investments",Healthcare,Switzerland,,False,M,
9400,Technology,Wang Xing,44,China,Beijing,Food delivery,Technology,China,,True,M,
9300,Technology,Brian Chesky,41,United States,San Francisco,Airbnb,Technology,United States,"Airbnb, Inc.",True,M,California
9300,Manufacturing,James Dyson,75,United Kingdom,Gloucestershire,Vacuums,Manufacturing,United Kingdom,,True,M,
9200,Diversified,Roman Abramovich & family,56,Russia,Moscow,"Steel, investments",Diversified,Russia,,True,M,
9200,Diversified,Antonia Ax:son Johnson & family,79,Sweden,Stockholm,Diversified,Diversified,Sweden,,False,F,
9200,Energy,Daniel Kretinsky,47,Czech Republic,Prague,"Energy, investments",Energy,Czech Republic,,True,M,
9200,Media & Entertainment,John Malone,82,United States,Elizabeth,Cable television,Media & Entertainment,United States,,True,M,Colorado
9200,Technology,Azim Premji,77,India,Bangalore,Software services,Technology,India,Wipro Ltd.,False,M,
9200,Finance & Investments,Charles Schwab,85,United States,Woodside,Discount brokerage,Finance & Investments,United States,Charles Schwab Corp.,True,M,California
9200,Fashion & Retail,Eric Smidt,63,United States,Beverly Hills,Hardware stores,Fashion & Retail,United States,,True,M,California
9000,Technology,David Cheriton,72,United States,Palo Alto,Google,Technology,Canada,Stanford University,True,M,California
9000,Metals & Mining,Ivan Glasenberg,66,Switzerland,Ruschlikon,Mining,Metals & Mining,Switzerland,,True,M,
9000,Real Estate,Alexander Otto,55,Germany,Hamburg,Real estate,Real Estate,Germany,,False,M,
9000,Food & Beverage,Anthony von Mandl,73,Canada,Vancouver,Alcoholic beverages,Food & Beverage,Canada,,True,M,
9000,Manufacturing,Wang Liping & family,57,China,Changzhou,Hydraulic machinery,Manufacturing,China,,True,M,
8900,Food & Beverage,Finn Rausing,68,United Kingdom,London,Packaging,Food & Beverage,Sweden,,False,M,
8900,Food & Beverage,Jorn Rausing,63,United Kingdom,Surrey,Packaging,Food & Beverage,Sweden,,False,M,
8900,Food & Beverage,Kirsten Rausing,70,United Kingdom,Newmarket,Packaging,Food & Beverage,Sweden,,False,F,
8800,Fashion & Retail,Tatyana Bakalchuk,47,Russia,Moscow region,Ecommerce,Fashion & Retail,Russia,,True,F,
8800,Technology,John Doerr,71,United States,Woodside,Venture capital,Technology,United States,Kleiner Perkins,True,M,California
8800,Technology,Richard Liu,49,China,Beijing,E-commerce,Technology,China,,True,M,
8800,Technology,Dustin Moskovitz,38,United States,San Francisco,Facebook,Technology,United States,Asana,True,M,California
8800,Technology,Pierre Omidyar,55,United States,Honolulu,"EBay, PayPal",Technology,United States,eBay,True,M,Hawaii
8800,Energy,Pei Zhenhua,64,China,Ningde,Batteries,Energy,China,,True,M,
8800,Energy,Carrie Perrodo & family,72,United Kingdom,London,Oil,Energy,France,,False,F,
8700,Manufacturing,Chen Jianhua,52,China,Wujiang,Chemicals,Manufacturing,China,,True,M,
8700,Fashion & Retail,Michael Otto,79,Germany,Hamburg,"Retail, real estate",Fashion & Retail,Germany,,False,M,
8600,Finance & Investments,Leon Black,71,United States,New York,Private equity,Finance & Investments,United States,,True,M,New York
8600,Finance & Investments,Graeme Hart,67,New Zealand,Auckland,Investments,Finance & Investments,New Zealand,,True,M,
8600,Food & Beverage,Ravi Jaipuria,68,India,Delhi,"Soft drinks, fast food",Food & Beverage,India,,False,M,
8600,Technology,Hasso Plattner & family,79,Germany,Heidelberg,Software,Technology,Germany,,True,M,
8600,Food & Beverage,Carlos Alberto Sicupira & family,75,Switzerland,St. Gallen,Beer,Food & Beverage,Brazil,,True,M,
8600,Real Estate,Manuel Villar,73,Philippines,Manila,Real estate,Real Estate,Philippines,,True,M,
8600,Technology,Andreas von Bechtolsheim & family,67,United States,Palo Alto,Google,Technology,Germany,Arista Networks,True,M,California
8500,Finance & Investments,"Chase Coleman, III.",47,United States,New York,Investments,Finance & Investments,United States,Tiger Global Management,True,M,New York
8500,Fashion & Retail,Ann Walton Kroenke,74,United States,Electra,Walmart,Fashion & Retail,United States,,False,F,Texas
8500,Manufacturing,Li Zhenguo & family,55,China,Xi'an,Solar wafers and modules,Manufacturing,China,,True,M,
8400,Media & Entertainment,Jim Kennedy,75,United States,Atlanta,"Media, automotive",Media & Entertainment,United States,Cox Enterprises,False,M,Georgia
8400,Metals & Mining,Nicky Oppenheimer & family,77,South Africa,Johannesburg,Diamonds,Metals & Mining,South Africa,,False,M,
8400,Media & Entertainment,Blair Parry-Okeden,72,Australia,New South Wales,"Media, automotive",Media & Entertainment,United States,,False,F,
8400,Metals & Mining,Zheng Shuliang & family,77,China,Binzhou,Aluminum products,Metals & Mining,China,,False,F,
