finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,gender,state
1800,Energy,Alejandro Bulgheroni,78,Uruguay,Manantiales,Oil & gas,Energy,Argentina,,False,M,
1800,Food & Beverage,R.G. Chandramogan,74,India,Chennai,Dairy,Food & Beverage,India,,True,M,
1800,Diversified,Binod Chaudhary,67,Nepal,Kathmandu,Diversified,Diversified,Nepal,,False,M,
1800,Technology,Parker Conrad,42,United States,San Francisco,Software,Technology,United States,,True,M,California
1800,Technology,Tim Cook,62,United States,Cupertino,Apple,Technology,United States,Apple,True,M,California
1800,Finance & Investments,Mark Coombs,62,United Kingdom,London,Finance,Finance & Investments,United Kingdom,,True,M,
1800,Media & Entertainment,John de Mol,68,Netherlands,Blaricum,TV programs,Media & Entertainment,Netherlands,,True,M,
1800,Construction & Engineering,D. Leopoldo Del Pino,60,Spain,Madrid,Construction,Construction & Engineering,Spain,,False,M,
1800,Technology,Diao Zhizhong,59,China,Beijing,Software,Technology,China,,True,M,
1800,Healthcare,Robert Duggan,78,United States,Clearwater,Pharmaceuticals,Healthcare,United States,,True,M,Florida
1800,Sports,James France,78,United States,Daytona Beach,"Nascar, racing",Sports,United States,,False,M,Florida
1800,Healthcare,Phillip Frost,86,United States,Miami Beach,Pharmaceuticals,Healthcare,United States,,True,M,Florida
1800,Finance & Investments,Jayme Garfinkel & family,77,Brazil,Sao Paulo,Insurance,Finance & Investments,Brazil,,False,M,
1800,Food & Beverage,Christopher Goldsbury,80,United States,San Antonio,Salsa,Food & Beverage,United States,Silver Ventures,False,M,Texas
1800,Healthcare,Yusuf Hamied,86,India,Mumbai,Pharmaceuticals,Healthcare,India,,False,M,
1800,Finance & Investments,Brian Higgins,58,United States,New York,Hedge funds,Finance & Investments,United States,King Street Capital Management,True,M,New York
1800,Real Estate,Wei Huang,63,China,Hangzhou,Real estate,Real Estate,China,,True,M,
1800,Automotive,Yintai Jiang & family,72,China,Shanghai,Auto parts,Automotive,China,,True,M,
1800,Healthcare,Lei Jin,57,China,Changchun,Pharmaceuticals,Healthcare,China,,True,M,
1800,Healthcare,Jin Lei & family,68,China,Beijing,Medical equipment,Healthcare,China,,True,M,
1800,Technology,Valentin Kipyatkov,46,Cyprus,Peyia,Software,Technology,Cyprus,,True,M,
1800,Diversified,Koo Kwang-mo,45,South Korea,Seoul,LG,Diversified,South Korea,,False,M,
1800,Technology,George Kurtz,52,United States,Paradise Valley,Security software,Technology,United States,,True,M,Arizona
1800,Sports,Joe Lacob,67,United States,Atherton,Golden State Warriors,Sports,United States,,True,M,California
